Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Minnesota Timberwolves,27.7,30,52,103.9,107.9,91,0.291,0.167,0.537,0.49,14.8,25.1,0.231,0.498,13.3,72.1,0.226,2007,0
New Jersey Nets*,28.2,39,43,105.7,106.6,91.4,0.338,0.263,0.546,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,2007,1
New Orleans/Oklahoma City Hornets,26.4,36,46,104.8,106.5,90.2,0.291,0.188,0.52,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,2007,0
New York Knicks,25.4,33,49,105.7,108.8,90.8,0.377,0.216,0.539,0.494,15.9,31,0.27,0.504,13,74,0.246,2007,0
Orlando Magic*,25.6,43,39,104.9,104.1,89.9,0.393,0.158,0.544,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,2007,1
Philadelphia 76ers,26.2,32,50,103.6,106.9,90.7,0.333,0.128,0.53,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,2007,0
Phoenix Suns*,27.6,59,23,113.9,106.4,95.6,0.267,0.287,0.59,0.551,13.4,22.7,0.215,0.492,13.6,71.9,0.206,2007,1
Portland Trail Blazers,24.4,29,53,105.1,109.9,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.241,0.508,13.5,73,0.267,2007,0
Sacramento Kings,27.3,36,46,106.2,108,94.8,0.379,0.232,0.545,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,2007,0
San Antonio Spurs*,30.4,64,18,109.2,99.9,89.8,0.313,0.247,0.561,0.521,13.6,24.2,0.235,0.471,14,75.7,0.201,2007,1
Seattle SuperSonics,25.9,33,49,107.2,110.3,91.8,0.288,0.219,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243,2007,0
Toronto Raptors*,26,44,38,107,106,92.6,0.303,0.224,0.55,0.504,13,22.2,0.239,0.503,14.3,74.5,0.219,2007,1
Utah Jazz*,25.9,49,33,110.1,107,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,2007,1
Washington Wizards*,26.8,40,42,110.1,110.6,94.1,0.356,0.237,0.542,0.491,12.6,28.1,0.272,0.517,14.4,71,0.249,2007,1
Atlanta Hawks*,24.2,36,46,106.9,108.9,91.1,0.34,0.165,0.535,0.483,14,29.7,0.263,0.501,12.9,71.7,0.217,2008,1
Boston Celtics*,27.9,67,15,110.2,98.9,90.9,0.346,0.249,0.569,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,2008,1
Charlotte Bobcats,26.3,29,53,104.6,109.4,91.8,0.323,0.22,0.532,0.492,13.9,25.6,0.23,0.505,13.4,71,0.235,2008,0
Chicago Bulls,25.7,32,50,103.9,107.2,93,0.296,0.19,0.515,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,2008,0
Cleveland Cavaliers*,27.1,40,42,106,106.4,90.2,0.308,0.231,0.52,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,2008,1
Dallas Mavericks*,28.9,54,28,111.1,106.1,90.2,0.318,0.215,0.554,0.502,12.3,26.7,0.259,0.474,11.7,75,0.252,2008,1
Denver Nuggets*,28.5,51,31,110,106.3,99.7,0.358,0.228,0.557,0.51,12.9,25.5,0.269,0.499,14.1,72.1,0.203,2008,1
Detroit Pistons*,28.3,62,20,111.4,102.9,87.3,0.3,0.203,0.539,0.495,11.4,29.4,0.23,0.47,13.4,73.7,0.244,2008,1
Golden State Warriors,25.5,47,35,111.8,109.5,98.8,0.276,0.295,0.548,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258,2008,0
Houston Rockets*,28.3,55,27,106.8,101.6,90.4,0.276,0.255,0.528,0.492,13,29.1,0.2,0.465,12.8,74.8,0.214,2008,1
Indiana Pacers,26.7,37,45,106,107.5,97.7,0.292,0.289,0.54,0.498,13.5,24.4,0.224,0.498,14.1,73.9,0.271,2008,0
Los Angeles Clippers,28.5,21,61,101.2,109.1,92.1,0.338,0.167,0.519,0.465,13.7,23.1,0.264,0.503,12.8,73.1,0.236,2008,0
Los Angeles Lakers*,26.7,59,23,113,105.5,95.6,0.333,0.257,0.57,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.214,2008,1
Memphis Grizzlies,24.5,25,57,105,111.4,95.3,0.311,0.264,0.539,0.5,14,23.8,0.225,0.521,12.2,73.4,0.196,2008,0
Miami Heat,27.4,18,64,100.5,110,90.2,0.3,0.217,0.522,0.482,14.4,22.1,0.218,0.51,13.6,71.9,0.245,2008,0
Milwaukee Bucks,25.8,23,59,105.3,112.8,91.3,0.294,0.195,0.522,0.482,13.7,30,0.215,0.524,13,73,0.25,2008,0
Minnesota Timberwolves,24.6,23,59,103.8,111.2,91.9,0.248,0.185,0.518,0.484,13.6,27.5,0.183,0.513,12.9,73.6,0.269,2008,0
New Jersey Nets,27.4,27,55,104,109.4,91.5,0.347,0.222,0.528,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,2008,0
New Orleans Hornets*,27.1,56,26,111.5,105.7,89.9,0.251,0.239,0.548,0.512,11.4,27,0.193,0.501,13.5,75.4,0.184,2008,1
New York Knicks,25.7,23,59,104.7,111.9,91.6,0.31,0.215,0.518,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.229,2008,0
Orlando Magic*,26.7,56,26,111.3,105.5,93.4,0.355,0.322,0.575,0.537,13.6,23.4,0.256,0.484,12.3,74.8,0.217,2008,1
Philadelphia 76ers*,25.3,42,40,106.4,106,90.4,0.321,0.143,0.522,0.482,13.4,31.8,0.227,0.504,15.1,72,0.205,2008,1
Phoenix Suns*,29.3,54,28,113.3,108.1,96.7,0.292,0.26,0.59,0.551,13.4,22.4,0.228,0.488,11.8,70.9,0.191,2008,1
Portland Trail Blazers,24.1,38,44,107.3,108.4,87.9,0.281,0.218,0.532,0.489,12.6,26.8,0.216,0.491,12.1,71.8,0.212,2008,0
